datetime,direction,score,pos_size,tp_pct,sl_pct,result,pnl,capital_after,conf_4h,conf_15m,atr_pct
2024-08-27 21:45:00,SHORT,51.52,100.0,1.1942,0.7961,WIN,0.9954,1001.0,0.6811,0.5507,0.5308
2024-08-27 22:30:00,SHORT,63.81,100.1,1.9701,1.3134,LOSS,-1.5162,999.48,0.6811,0.5365,0.8756
2024-08-27 23:15:00,SHORT,63.72,99.95,1.9322,1.2881,WIN,1.7332,1001.21,0.6811,0.5146,0.8587
2024-08-28 00:00:00,SHORT,57.16,100.12,1.7289,1.1526,LOSS,-1.3554,999.86,0.6349,0.5448,0.7684
2024-08-28 00:45:00,SHORT,56.87,99.99,1.6098,1.0732,LOSS,-1.2741,998.58,0.6349,0.5514,0.7155
2024-08-28 01:30:00,SHORT,56.59,99.86,1.4977,0.9984,LOSS,-1.1977,997.39,0.6349,0.5258,0.6656
2024-08-28 02:15:00,SHORT,56.31,99.74,1.3833,0.9222,LOSS,-1.1202,996.27,0.6349,0.5427,0.6148
2024-08-28 03:00:00,SHORT,55.84,99.63,1.1924,0.7949,WIN,0.9899,997.25,0.6349,0.5994,0.5299
2024-08-28 03:45:00,SHORT,55.5,99.73,1.0544,0.7029,WIN,0.8531,998.11,0.6349,0.601,0.4686
2024-08-28 12:00:00,SHORT,52.73,99.81,0.9004,0.6002,WIN,0.6999,998.81,0.6047,0.5594,0.4002
2024-10-14 14:15:00,LONG,56.62,41.62,0.9144,0.6096,LOSS,-0.3367,998.47,0.6097,0.6105,0.4064
2024-10-29 02:00:00,LONG,61.35,22.69,0.8336,0.5558,WIN,0.1436,998.61,0.6241,0.5928,0.3705
2024-10-29 03:00:00,LONG,61.69,41.61,0.9704,0.6469,LOSS,-0.3521,998.26,0.6241,0.5704,0.4313
2024-10-29 07:30:00,LONG,50.8,25.6,0.6766,0.4511,WIN,0.1218,998.38,0.6275,0.5621,0.3007
2024-10-29 11:00:00,LONG,60.39,41.6,0.5116,0.3411,LOSS,-0.225,998.16,0.6242,0.5782,0.2274
2024-10-29 11:45:00,LONG,55.56,27.73,0.5094,0.3396,LOSS,-0.1495,998.01,0.6242,0.5644,0.2264
2024-10-29 15:45:00,LONG,57.41,19.96,0.8506,0.5671,WIN,0.1297,998.14,0.6709,0.5545,0.3781
2024-10-29 16:30:00,LONG,72.36,29.36,0.8404,0.5603,WIN,0.1878,998.33,0.6933,0.5697,0.3735
2024-10-29 17:15:00,LONG,72.37,41.6,0.8426,0.5617,WIN,0.267,998.59,0.6933,0.6075,0.3745
2024-10-29 18:00:00,LONG,63.81,52.56,0.8249,0.5499,WIN,0.328,998.92,0.6933,0.5453,0.3666
2024-10-29 18:45:00,LONG,72.39,62.43,0.8542,0.5695,LOSS,-0.4801,998.44,0.6933,0.5638,0.3797
2024-10-29 19:45:00,LONG,54.19,51.51,1.0725,0.715,LOSS,-0.4709,997.97,0.6933,0.5311,0.4767
2024-10-29 20:30:00,LONG,82.32,41.58,1.1515,0.7676,LOSS,-0.402,997.57,0.8047,0.5569,0.5118
2024-10-29 21:15:00,LONG,72.36,32.53,1.0762,0.7175,LOSS,-0.2982,997.27,0.8047,0.5426,0.4783
