datetime,direction,score,pos_size,tp_pct,sl_pct,rr_actual,result,pnl,capital_after,conf_4h,conf_15m_dir,conf_15m_opp,atr_15m,atr_4h_used,macro_ema,trade_pct
2024-10-29 13:30:00,LONG,65.14,100.0,2.2991,1.1496,2.0,WIN,2.0968,1002.1,0.6709,0.4978,0.357,0.2635,1.1496,10.5615,0.1
2024-10-29 15:45:00,LONG,68.24,100.21,2.2991,1.1496,2.0,WIN,2.1012,1004.2,0.6709,0.498,0.2818,0.3781,1.1496,10.5615,0.1
2024-10-29 16:45:00,LONG,71.24,100.42,2.381,1.1905,2.0,WIN,2.1877,1006.39,0.6933,0.498,0.2813,0.3722,1.1905,10.6478,0.1
2024-10-29 17:45:00,LONG,63.04,100.64,2.381,1.1905,2.0,WIN,2.1925,1008.58,0.6933,0.4147,0.2956,0.3786,1.1905,10.6478,0.1
2024-10-29 18:45:00,LONG,71.28,100.86,2.381,1.1905,2.0,LOSS,-1.4012,1007.18,0.6933,0.498,0.2813,0.3797,1.1905,10.6478,0.1
2024-10-29 19:45:00,LONG,69.51,100.72,2.381,1.1905,2.0,LOSS,-1.3993,1005.78,0.6933,0.4337,0.2923,0.4767,1.1905,10.6478,0.1
2024-10-29 20:45:00,LONG,86.12,100.58,2.4237,1.2118,2.0,LOSS,-1.4188,1004.36,0.8047,0.498,0.2813,0.5017,1.2118,10.8325,0.1
2024-10-29 21:45:00,LONG,85.75,100.44,2.4237,1.2118,2.0,LOSS,-1.4168,1002.94,0.8047,0.498,0.2923,0.4344,1.2118,10.8325,0.1
2024-10-30 10:30:00,LONG,63.33,100.29,2.3238,1.1619,2.0,LOSS,-1.3648,1001.58,0.6941,0.4943,0.3646,0.2124,1.1619,9.3648,0.1
2024-10-30 11:30:00,LONG,68.72,100.16,2.3238,1.1619,2.0,LOSS,-1.3629,1000.21,0.6941,0.4943,0.3237,0.2092,1.1619,9.3648,0.1
2024-10-30 12:30:00,LONG,66.64,30.01,2.3605,1.1802,2.0,LOSS,-0.4138,999.8,0.6761,0.498,0.2813,0.2526,1.1802,9.3791,0.03
2024-10-30 13:30:00,LONG,66.85,29.99,2.3605,1.1802,2.0,WIN,0.6473,1000.45,0.6761,0.498,0.2956,0.2899,1.1802,9.3791,0.03
